canonical	count	symbol	root	quality	root_qual	common	root_common	pitch_names	chord_size
"001000110011"	42	GmM7/DaddB	G	other	G other	major-augmented ninth chord	G major-augmented ninth chord	D F# G B- B	5
"001000101000"	930	*	G#	other	G# other	incomplete half-diminished seventh chord	G# incomplete half-diminished seventh chord	D F# G#	3
"100101011010"	35	Fm11/C	F	minor	F minor	C all combinatorial (P6, I3, RI9)	F C all combinatorial (P6, I3, RI9)	C E- F G A- B-	6
"010011110001"	6	C#/o7addE#,F#	C#	other	C# other		C# 	C# E E# F# G B	6
"000000010000"	79988	Gpedal	G	other	G other	unison	G unison	G	1
"000000001000"	20567	G#pedal	G#	other	G# other	unison	G# unison	G#	1
"010101100100"	15	D#/o9/C#	D#	diminished	D# diminished	diminished-augmented ninth chord	D# diminished-augmented ninth chord	C# D# E# F# A	5
"001110001001"	66	*	E-	other	E- other	diminished pentacluster	E- diminished pentacluster	D E- E G# B	5
"000010000111"	10	EsusaddA#	A	other	A other	perfect fourth tetramirror	A perfect fourth tetramirror	E A A# B	4
"000000000110"	3366	*	B-	other	B- other	interval class 1	B- interval class 1	A B-	2
"100010010000"	57662	C	C	major	C major	major triad	C major triad	C E G	3
"101110000100"	7	Adim/CaddE,D	A	other	A other	minor-seventh pentacluster	A minor-seventh pentacluster	C D E- E A	5
"101000011101"	5	G/CaddA,A-	G	major	G major		G 	C D G A- A B	6
"100001001010"	891	Fm/CaddB-	F	minor	F minor	perfect-fourth minor tetrachord	F perfect-fourth minor tetrachord	C F A- B-	4
"010011010110"	10	A7/C#addA#,E#	A	other	A other	double-phrygian heachord	A double-phrygian heachord	C# E E# G A A#	6
"000000110011"	23	*	G	major	G major	Arabian tetramirror	G Arabian tetramirror	F# G A# B	4
"000001100110"	9	*	F	other	F other	Arabian tetramirror	F Arabian tetramirror	F F# A A#	4
"001000001101"	968	G#dim/DaddA	G#	diminished	G# diminished	minor-second diminished tetrachord	G# minor-second diminished tetrachord	D G# A B	4
"101000110000"	583	*	D	major	D major	tritone quartal tetrachord	D tritone quartal tetrachord	C D F# G	4
"101000110110"	36	GmM11/C	G	minor	G minor		G 	C D F# G A B-	6
"010000000110"	489	*	A	major	A major	major-minor trichord	A major-minor trichord	C# A A#	3
"101001001010"	639	B-9/C	B-	major	B- major	dominant-ninth	B- dominant-ninth	C D F A- B-	5
"010101100000"	20	D#m9/C#	D#	minor	D# minor	lydian tetrachord	D# lydian tetrachord	C# D# E# F#	4
"000100000010"	11321	E-power	E-	other	E- other	interval class 5	E- interval class 5	E- B-	2
"000010110011"	14	EdimaddF#,B	E	other	E other	Roma (Gypsy) pentachord	E Roma (Gypsy) pentachord	E F# G B- B	5
"110010100010"	6	G-7/C	G-	major	G- major	augmented-sixth pentachord	G- augmented-sixth pentachord	C D- F- G- B-	5
"100101100001"	6	CdimaddF,C-	C	diminished	C diminished	Balinese pentachord	C Balinese pentachord	C E- F G- C-	5
"000000101001"	1129	*	G#	minor	G# minor	incomplete minor-seventh chord	G# incomplete minor-seventh chord	F# G# B	3
"010000100001"	1170	C#susaddB,omitG#	B	other	B other	quartal trichord	B quartal trichord	C# F# B	3
"001001001000"	5909	Ddim	D	diminished	D diminished	diminished triad	D diminished triad	D F A-	3
"010010011010"	45	A#o7/C#addG#	A#	diminished	A# diminished	diminished minor-ninth chord	A# diminished minor-ninth chord	C# E G G# A#	5
"011010010011"	14	C#ob9addB	C#	diminished	C# diminished	combinatorial I (I11)	C# combinatorial I (I11)	C# D E G B- B	6
"101101010000"	199	CmaddF,D	C	minor	C minor	dorian pentachord	C dorian pentachord	C D E- F G	5
