canonical	count	symbol	root	quality	root_qual	common	root_common	pitch_names	chord_size
"101011000000"	1909	Dm9/C	D	minor	D minor	lydian tetrachord	D lydian tetrachord	C D E F	4
"010011100000"	166	F#power/C#addE#,E	F#	other	F# other	minor third tetracluster	F# minor third tetracluster	C# E E# F#	4
"010001101001"	965	C#7addF#	C#	major	C# major	Kumoi pentachord	C# Kumoi pentachord	C# E# F# G# B	5
"101100010011"	91	Cm9addB	C	minor	C minor	combinatorial P (P6)	C combinatorial P (P6)	C D E- G B- B	6
"010110101010"	172	D#m7/C#addG#,E	D#	minor	D# minor	dorian hexachord	D# dorian hexachord	C# D# E F# G# A#	6
"011011000000"	387	DmM9/C#	D	minor	D minor	alternating tetramirror	D alternating tetramirror	C# D E F	4
"100111000110"	36	F7/CaddB-,E	F	major	F major	combinatorial I (I5)	F combinatorial I (I5)	C E- E F A B-	6
"100010100000"	5174	*	F#	other	F# other	incomplete half-diminished seventh chord	F# incomplete half-diminished seventh chord	C E F#	3
"011001010010"	390	Gm7/C#	G	minor	G minor	Neapolitan pentachord	G Neapolitan pentachord	C# D F G B-	5
"110010111101"	26	D-mM7/C-addG,G-,A	D-	other	D- other		D- 	C D- F- G- G A- A C-	8
"110011101010"	18	*	G-	major	G- major	Neapolitan-minor mode	G- Neapolitan-minor mode	C D- F- F G- A- B-	7
"100001101101"	25	Fm/C-addA,G-,C-	F	other	F other	alternating hexamirror	F alternating hexamirror	C F G- A- A C-	6
"011000111001"	19	Gmaj7/C#addG#	G	major	G major	combinatorial I (I11)	G combinatorial I (I11)	C# D F# G G# B	6
"100010001000"	10545	C+	C	augmented	C augmented	augmented triad	C augmented triad	C E G#	3
"111001000001"	97	*	B	other	B other	blues pentacluster	B blues pentacluster	C D- D F B	5
"011101001001"	230	C#7addD#,D	C#	major	C# major	combinatorial RI (RI6)	C# combinatorial RI (RI6)	C# D D# E# G# B	6
"000010001100"	5940	Apower/EaddG#	A	other	A other	incomplete major-seventh chord	A incomplete major-seventh chord	E G# A	3
"011000001011"	178	G#dim/C#addA#	G#	diminished	G# diminished	alternating pentachord	G# alternating pentachord	C# D G# A# B	5
"101110110110"	9	Cm9addA,F#,E	C	other	C other		C 	C D E- E F# G A B-	8
"000100011010"	4523	E-addA-	E-	major	E- major	perfect-fourth major tetrachord	E- perfect-fourth major tetrachord	E- G A- B-	4
"111000110001"	359	*	G	other	G other	combinatorial RI (RI3)	G combinatorial RI (RI3)	C D- D F# G B	6
"101101010001"	241	CmM11	C	minor	C minor		C 	C D E- F G B	6
"010100110010"	380	D#m7/C#addG	D#	minor	D# minor	Neapolitan pentachord	D# Neapolitan pentachord	C# D# F# G A#	5
"101100001011"	28	A-/CaddB-,B,D	A-	major	A- major		A- 	C D E- A- B- B	6
"111011001010"	8	B-m9/CaddE,D	B-	other	B- other		B- 	C D- D E F A- B-	7
"011010001011"	170	A#/ob9/C#addD	A#	diminished	A# diminished	combinatorial RI (RI8)	A# combinatorial RI (RI8)	C# D E G# A# B	6
"110111111101"	23	D-mM11/C-addG,A,F	D-	other	D- other		D- 	C D- E- F- F G- G A- A C-	10
"000110100111"	75	C-7addB-,F-	C-	major	C- major	combinatorial I (I5)	C- combinatorial I (I5)	E- F- G- B-- B- C-	6
"000010010111"	91	EdimaddA,B	E	other	E other	minor-seventh pentacluster	E minor-seventh pentacluster	E G A B- B	5
"110010110011"	37	G-7/C-addG,C	G-	major	G- major		G- 	C D- F- G- G B- C-	7
"100001100111"	26	F/C-addB-,G-,C-	F	other	F other	combinatorial I (I3)	F combinatorial I (I3)	C F G- A B- C-	6
"010011110110"	7	F#m7/C#addG,A#,E#	F#	other	F# other	Debussy's heptatonic	F# Debussy's heptatonic	C# E E# F# G A A#	7
"100011100101"	54	Fmaj7/CaddF#,B	F	major	F major	combinatorial I (I11)	F combinatorial I (I11)	C E F F# A B	6
"000101110101"	21	*	E-	other	E- other	combinatorial I (I1)	E- combinatorial I (I1)	E- F G- G A B	6
"000111000010"	81	E-poweraddF-,F	E-	other	E- other	perfect fourth tetramirror	E- perfect fourth tetramirror	E- F- F B-	4
"010010001100"	7809	Amaj7/C#	A	major	A major	major seventh chord	A major seventh chord	C# E G# A	4
"001100110110"	123	E-mM7/DaddG,A	E-	other	E- other		E- 	D E- G- G A B-	6
"000000100100"	90367	*	F#	minor	F# minor	interval class 3	F# interval class 3	F# A	2
"000100001010"	7016	E-sus	A-	other	A- other	quartal trichord	A- quartal trichord	E- A- B-	3
"100111101110"	5	Fm7/CaddA,G-,B-,E	F	other	F other		F 	C E- E F G- A- A B-	8
"101011001001"	269	Bob9/CaddE	B	diminished	B diminished	double-phrygian heachord	B double-phrygian heachord	C D E F A- B	6
"101010011101"	50	A-+M7/CaddA,B,D	A-	augmented	A- augmented		A- 	C D E G A- A B	7
"101100000101"	138	Adim/CaddD,B	A	diminished	A diminished	alternating pentachord	A alternating pentachord	C D E- A B	5
"100100000111"	75	Adim/CaddB-,B	A	diminished	A diminished	blues pentacluster	A blues pentacluster	C E- A B- B	5
"000110011101"	23	E-+addA,F-,A-	E-	augmented	E- augmented	combinatorial I (I3)	E- combinatorial I (I3)	E- F- G A- A B	6
"110100110001"	98	CdimaddG,C-,D-	C	other	C other	all tri-chord hexachord	C all tri-chord hexachord	C D- E- G- G C-	6
"100101000000"	21686	Fpower/CaddE-	F	other	F other	incomplete dominant-seventh chord	F incomplete dominant-seventh chord	C E- F	3
"000000101011"	295	G#m9/F#	G#	minor	G# minor	lydian tetrachord	G# lydian tetrachord	F# G# A# B	4
"011001010100"	371	DmM7/C#addG	D	minor	D minor	enigmatic pentachord	D enigmatic pentachord	C# D F G A	5
"101101100010"	34	C/o9addF	C	diminished	C diminished	melodic-minor hexachord	C melodic-minor hexachord	C D E- F G- B-	6
"100001001111"	54	Fm/CaddA,B-,B	F	other	F other		F 	C F A- A B- B	6
"110111001100"	17	D-mM9/CaddA,F	D-	other	D- other	Gypsy (Roma) hexatonic	D- Gypsy (Roma) hexatonic	C D- E- F- F A- A	7
"100111100100"	112	F7/CaddG-,E	F	major	F major	combinatorial RI (RI3)	F combinatorial RI (RI3)	C E- E F G- A	6
"011101100001"	40	Bm/C#addE#,D#	B	other	B other		B 	C# D D# E# F# B	6
"011110001000"	42	C#maddD,D#	C#	minor	C# minor	major-third pentacluster	C# major-third pentacluster	C# D D# E G#	5
"011001000101"	763	B/o9/C#	B	diminished	B diminished	diminished-augmented ninth chord	B diminished-augmented ninth chord	C# D F A B	5
"000011010000"	5524	*	E	minor	E minor	phrygian trichord	E phrygian trichord	E F G	3
"001000110010"	2529	GmM7/D	G	minor	G minor	minor-augmented tetrachord	G minor-augmented tetrachord	D F# G B-	4
"100100110010"	317	C/o7addG	C	other	C other	Neapolitan pentachord	C Neapolitan pentachord	C E- G- G B-	5
"111111111111"	71	C/o11addE,D,G,B,A,A-	C	other	C other	aggregate	C aggregate	C D- D E- E F G- G A- A B- B	12
"100100101010"	1223	A-9/C	A-	major	A- major	dominant-ninth	A- dominant-ninth	C E- G- A- B-	5
"000101001111"	33	F/o7/C-addA,B-	F	other	F other		F 	E- F A- A B- C-	6
"111001100110"	23	B-mM9/CaddF#,D	B-	other	B- other	Gypsy (Roma) hexatonic	B- Gypsy (Roma) hexatonic	C D- D F F# A B-	7
"000111001010"	21	*	F-	major	F- major	double-seconds triple-fourth pentachord	F- double-seconds triple-fourth pentachord	E- F- F A- B-	5
"001010011111"	9	E/o7/DaddA,G#,B	E	other	E other		E 	D E G G# A B- B	7
"110011110000"	9	*	D-	other	D- other	combinatorial I (I3)	D- combinatorial I (I3)	C D- F- F G- G	6
"100110101010"	17	A-9/CaddE	A-	other	A- other	Scriabin's Mystic-chord	A- Scriabin's Mystic-chord	C E- E G- A- B-	6
"000101111001"	28	F/ob9/C-addG	F	diminished	F diminished		F 	E- F G- G A- C-	6
"000001000100"	115539	*	F	major	F major	interval class 4	F interval class 4	F A	2
"000101010101"	218	E-+addA,F	E-	augmented	E- augmented	whole-tone pentachord	E- whole-tone pentachord	E- F G A B	5
